YEAR,DANE_sede,MATEMATICAS_PUNT,x,y,students
2008,105001001635,48.96545454545456,-75.597961,6.2293525,99
2009,105001001635,46.99131313131311,-75.597961,6.2293525,99
2010,105001001635,47.26993589743592,-75.597961,6.2293525,156
2011,105001001635,49.08333333333334,-75.597961,6.2293525,144
2012,105001001635,49.08074534161491,-75.597961,6.2293525,161
2013,105001001635,47.13076923076923,-75.597961,6.2293525,130
2004,105001001651,40.77347755432129,-75.556961,6.2587671,23
2005,105001001651,44.13320068359375,-75.556961,6.2587671,25
2006,105001001651,46.8225581395349,-75.556961,6.2587671,43
2007,105001001651,44.81645833333334,-75.556961,6.2587671,48
2008,105001001651,43.42750000000001,-75.556961,6.2587671,68
2009,105001001651,43.10171428571429,-75.556961,6.2587671,70
2010,105001001651,46.0224691358025,-75.556961,6.2587671,81
2011,105001001651,48.43333333333333,-75.556961,6.2587671,60
2012,105001001651,44.58974358974359,-75.556961,6.2587671,78
2013,105001001651,45.05,-75.556961,6.2587671,60
2004,105001001660,40.36628526960101,-75.552139,6.2850332,35
2005,105001001660,44.9648650916847,-75.552139,6.2850332,37
2006,105001001660,46.16900000000003,-75.552139,6.2850332,40
2007,105001001660,43.56141025641027,-75.552139,6.2850332,78
2008,105001001660,45.5323076923077,-75.552139,6.2850332,52
2009,105001001660,44.39309090909091,-75.552139,6.2850332,55
2010,105001001660,41.57376811594205,-75.552139,6.2850332,69
2011,105001001660,41.025,-75.552139,6.2850332,40
2012,105001001660,43.06060606060606,-75.552139,6.2850332,33
2013,105001001660,40.93617021276596,-75.552139,6.2850332,47
2004,105001001791,40.11767396261526,-75.588028,6.2687759,43
2005,105001001791,44.46982484114798,-75.588028,6.2687759,57
2006,105001001791,47.88129629629633,-75.588028,6.2687759,54
2007,105001001791,44.46269841269845,-75.588028,6.2687759,63
2008,105001001791,46.82380281690143,-75.588028,6.2687759,71
2009,105001001791,44.26624999999999,-75.588028,6.2687759,72
2010,105001001791,47.66367346938775,-75.588028,6.2687759,49
2011,105001001791,49.82978723404256,-75.588028,6.2687759,47
2012,105001001791,52.66,-75.588028,6.2687759,50
2013,105001001791,46.21538461538461,-75.588028,6.2687759,65
2004,105001001805,40.06843674182892,-75.544754,6.3024378,32
2005,105001001805,43.83857185986577,-75.544754,6.3024378,49
2006,105001001805,44.48756097560978,-75.544754,6.3024378,41
2007,105001001805,42.16255319148937,-75.544754,6.3024378,47
2008,105001001805,42.16,-75.544754,6.3024378,66
2009,105001001805,42.18380952380953,-75.544754,6.3024378,84
2010,105001001805,40.12392405063294,-75.544754,6.3024378,79
2011,105001001805,43.23456790123457,-75.544754,6.3024378,81
2012,105001001805,43.5531914893617,-75.544754,6.3024378,94
2013,105001001805,42.1948051948052,-75.544754,6.3024378,77
2004,105001001848,39.09666610899426,-75.567627,6.3004222,42
2005,105001001848,43.80698653443219,-75.567627,6.3004222,73
2006,105001001848,45.78705882352943,-75.567627,6.3004222,68
2007,105001001848,47.89843137254903,-75.567627,6.3004222,51
2008,105001001848,46.35190476190477,-75.567627,6.3004222,63
2009,105001001848,44.37277777777776,-75.567627,6.3004222,54
2010,105001001848,45.67884057971018,-75.567627,6.3004222,69
2011,105001001848,48.32432432432432,-75.567627,6.3004222,74
2012,105001001848,48.82432432432432,-75.567627,6.3004222,74
2013,105001001848,47.53246753246754,-75.567627,6.3004222,77
2004,105001002011,41.45409773216873,-75.557915,6.2407537,122
2005,105001002011,45.23000005880991,-75.557915,6.2407537,144
2006,105001002011,49.6051764705882,-75.557915,6.2407537,170
2007,105001002011,46.88744047619042,-75.557915,6.2407537,168
2008,105001002011,46.63077464788736,-75.557915,6.2407537,142
2009,105001002011,44.83725888324872,-75.557915,6.2407537,197
2010,105001002011,44.21802030456857,-75.557915,6.2407537,197
2011,105001002011,48.50920245398773,-75.557915,6.2407537,163
2012,105001002011,46.30084745762712,-75.557915,6.2407537,236
2013,105001002011,44.99547511312217,-75.557915,6.2407537,221
2004,105001002020,40.58741012641362,-75.603546,6.2491097,112
2005,105001002020,45.14279295087935,-75.603546,6.2491097,111
2006,105001002020,43.33055999999998,-75.603546,6.2491097,125
2007,105001002020,43.44852459016393,-75.603546,6.2491097,122
2008,105001002020,44.90585034013611,-75.603546,6.2491097,147
2009,105001002020,44.13731249999998,-75.603546,6.2491097,160
2010,105001002020,47.27648,-75.603546,6.2491097,125
2011,105001002020,48.35606060606061,-75.603546,6.2491097,132
2012,105001002020,45.5974025974026,-75.603546,6.2491097,154
2013,105001002020,46.47727272727273,-75.603546,6.2491097,132
2004,105001002038,40.50514232090541,-75.558594,6.28545,35
2005,105001002038,45.84466667175293,-75.558594,6.28545,30
2006,105001002038,42.75461538461538,-75.558594,6.28545,26
2007,105001002038,45.35634146341464,-75.558594,6.28545,41
2008,105001002038,42.7922857142857,-75.558594,6.28545,35
2009,105001002038,47.72756097560976,-75.558594,6.28545,41
2010,105001002038,48.72394736842106,-75.558594,6.28545,38
2011,105001002038,51.69047619047619,-75.558594,6.28545,42
2012,105001002038,48.81132075471698,-75.558594,6.28545,53
2013,105001002038,42.54166666666666,-75.558594,6.28545,48
2004,105001002101,41.93111080593533,-75.553574,6.2807388,18
2005,105001002101,44.89272741837935,-75.553574,6.2807388,22
2006,105001002101,44.11884615384615,-75.553574,6.2807388,26
2007,105001002101,42.92866666666667,-75.553574,6.2807388,30
2008,105001002101,44.74523076923079,-75.553574,6.2807388,65
2009,105001002101,43.25288135593219,-75.553574,6.2807388,59
2010,105001002101,42.04986486486489,-75.553574,6.2807388,74
2011,105001002101,44.42307692307692,-75.553574,6.2807388,78
2012,105001002101,44.6764705882353,-75.553574,6.2807388,68
2013,105001002101,43.02941176470588,-75.553574,6.2807388,68
2004,105001002119,40.71566751611378,-75.586601,6.2569165,247
2005,105001002119,44.61206072898366,-75.586601,6.2569165,199
